Prov,Code_Site,Site_name,District,OverallScore,Sub,Revenue,Revenue_Loss,Day_Down_hour,Night_Down_hour,AC_Power_Downtime_hour,Distance_KM,Access_Time_Minute,Backup_time_Minute,Lat,Long
VTP,VTP0129,VTP0129_SIMENFACTORY,Vangvieng,5,34613,500886061.2,12661380.62,40.2,84.7,118.2,8,10,0,18.8765,102.4833
VTP,VTP0131,VTP0131_THAMJANG,Vangvieng,5,63204,945571203.6,8425577.937,21.1,17.8,28.4,4,10,30,18.9161,102.4478
VTP,VTP0132,VTP0132_THAMPOUKHAM,Vangvieng,5,31385,659477707.8,8943115.277,43,32.5,56.5,6,15,480,18.9261,102.3951
VTP,VTP0140,VTP0140_VANGVIENG_MK,Vangvieng,5,76316,1034447664,9532987.481,31.1,5.9,37.1,4,10,10,18.9392,102.4469
VTP,VTP0147,VTP0147_VIENGSAMAI,Vangvieng,5,39856,413084382.2,5602099.68,78.9,40.7,108.2,5,10,60,19.029249,102.442711
VTP,VTP0152,VTP0152_NAKHEUA,Viengkham,5,30671,917439484.3,4297406.995,17.7,4.2,21.9,7,15,30,18.4341,102.5331
VTP,VTP0168,VTP0168_NAMKOUN,xanakham,5,11222,401348582.9,7200843.454,111.2,23.8,133.5,34,90,30,18.1431,101.7206
VTP,VTP0170,VTP0170_NAPHIENG,xanakham,5,21489,623771911.2,7271375.201,53.7,37.5,56.5,9,20,5,17.9681,101.6911
VTP,VTP0171,VTP0171_NASAK,xanakham,5,18470,531947791.5,6445229.625,104.8,17.6,121.7,19,45,60,18.0677,101.6913
VTP,VTP0172,VTP0172_NONHUAXANG,xanakham,5,7264,515217818.7,6118189.682,56.6,5.2,59.5,45,120,360,18.2024,101.7241
VTP,VTP0183,VTP0183_JADSANH,Fuang,5,9239,572221701.6,7621455.752,57.7,63.2,98.9,62,180,0,18.714669,102.105784
VTP,VTP0188,VTP0188_NA_ANG,Fuang,5,26442,359061768.3,4531215.513,35.1,68.8,67.1,85,180,240,18.5716,101.9758
VTP,VTP0196,VTP0196_PHAXANG,Fuang,6,15577,1097867710,15091344.72,47.3,17.1,64.3,92,240,10,18.4724,101.9808
VTP,VTP0209,VTP0209_KHONKEO,Hinheup,5,19393,337041555.6,5232132.645,67.2,85.3,152.5,45,90,360,18.5479,102.3342
VTP,VTP0214,VTP0214_NAPHONG2,Hinheup,5,4345,313756013.8,7262190.104,143.3,152.6,259.5,65,150,10,18.5174,102.2242
VTP,VTP0215,VTP0215_NASUM,Hinheup,6,10811,524285076.9,16138029.53,72.1,111.1,170.7,55,150,120,18.4908,102.2771
VTP,VTP0216,VTP0216_NATAI,Hinheup,5,2126,331245974.2,4333554.865,61.8,73.5,93.5,60,150,120,18.704438,102.289923
VTP,VTP0217,VTP0217_NONGLUANG,Hinheup,5,2441,301335698.1,5292969.182,72.8,83.4,93.9,65,150,0,18.7612,102.2566
VTP,VTP0218,VTP0218_PHABONG,Hinheup,5,5406,459145127.7,9113268.305,59.2,80.4,85.3,60,150,120,18.749034,102.27586
VTP,VTP0219,VTP0219_PHONMUOANG_HH,Hinheup,6,52126,686532246.5,15887890.65,40.3,99.1,116.9,48,120,0,18.6297,102.2651
VTP,VTP0220,VTP0220_PHONNGAM,Hinheup,5,9999,480116808.8,9805702.112,65.5,101,155.1,49,120,30,18.5337,102.3165
VTP,VTP0227,VTP0227_SOMSANOOK,Hinheup,5,15718,387159736.9,6351237.357,98.2,126.1,205.1,70,180,10,18.7892,102.4608
VTP,VTP0229,VTP0229_SOUANMON,Hinheup,5,5781,411540580.4,10560076.56,128.6,149.6,241.4,65,180,10,18.4418,102.2086
VTP,VTP0232,VTP0232_BANCHIENG,Kasi,5,33916,573901527.6,7417567.912,62.1,15.3,67.9,47,90,15,19.1515,102.2101
VTP,VTP0235,VTP0235_DK60,Kasi,5,48719,498979300.3,7001480.283,43.1,18.2,47.1,70,180,30,19.2663,102.2307
VTP,VTP0239,VTP0239_HUAYSANE,Kasi,5,31156,373250764.1,14838645.68,59.6,120.8,104.7,80,210,240,19.3015,102.1694
VTP,VTP0240,VTP0240_LONGMARKKHAY,Kasi,5,1172,157820677.5,5878112.277,102.8,193.6,117.7,87,240,30,19.2888,102.4467
VTP,VTP0245,VTP0245_NASOO,Kasi,5,26430,658449445.1,10031679.21,45.4,15.5,50.1,62,180,0,19.2354,102.2746
VTP,VTP0247,VTP0247_NONGSAN,Kasi,6,899,172827155.7,16875005.95,473,770.6,560.4,98,240,60,19.1392,102.0066
VTP,VTP0254,VTP0254_PHOUNOM,Kasi,5,17120,389312446.6,9510612.711,135.5,58.8,157.3,80,180,0,19.2891,102.3281
VTP,VTP0255,VTP0255_POUNGLUCK,Kasi,6,5564,230177242.3,19434691.42,155.4,334,281.1,87,210,30,19.0711,102.0611
VTP,VTP0261,VTP0261_KOKKIENG,Keo-Oudom,5,20550,577131491.4,6478288.81,22.3,51.8,55.4,14,20,60,18.5614,102.4645
VTP,VTP0264,VTP0264_PHOUKHAOKHAM,Keo-Oudom,5,20209,610989823.9,5135958.625,20.5,38.3,21.5,12,30,0,18.5272,102.51
VTP,VTP0272,VTP0272_NADEE,Met,5,3343,229075442.7,7252946.491,120.8,49.2,170.1,115,240,15,18.7816,101.8964
VTP,VTP0274,VTP0274_NAMFEUANG,Met,5,915,190048968.3,6114457.252,113.1,280.8,122.8,125,300,120,18.9205,101.8941
VTP,VTP0288,VTP0288_NAMPHERN,Muen,5,12941,1052463440,7198141.156,32,9.8,35.5,128,240,120,18.2266,101.9338
VTP,VTP0291,VTP0291_NUMHONE,Muen,5,15138,1214847236,17821242.45,51.9,24.7,56.3,115,240,0,18.2856,101.9574
VTP,VTP0313,VTP0313_PHONESAVANGS,xanakham,5,13144,502807579.6,6465927.143,118.9,16.9,129.6,15,30,5,18.0967,101.7107
VTP,VTP0322,VTP0322_PHATHAO_VV,Vangvieng,5,14372,424152281,5678586.196,139.4,41.1,111.6,25,30,15,19.0204,102.4332
VTP,VTP0327,VTP0327_KENGXIENG,Fuang,5,31758,401544860.7,5633516.892,67.2,33.6,90.4,86,150,0,18.727289,102.131685
XKG,XKG0035,XKG0035_SATUATAI,Thateng,5,3399,229362523.5,5005896.227,102.8,78.9,179.3,36,60,240,15.37121,106.59296
XKG,XKG0047,XKG0047_POWERHOUSE,Laman,5,874,160681360.1,5260085.69,191.4,192,268.8,85,180,10,15.5664957,106.9825053
XKG,XKG0051,XKG0051_PANONE,Karum,6,1183,243568880.4,21561913.34,390.7,218,178.9,143,330,60,15.801673,107.140766
XKG,XKG0052,XKG0052_ARTENG,Karum,5,520,94349458.2,4476213.497,443.4,438.6,354.4,165,390,120,15.897219,107.181135
XKG,XKG0061,XKG0061_XEKONG5_DAM,Karum,6,398,86339240.06,14657371.07,381.9,1419.1,1731.7,250,360,120,15.9162,106.9336
XKH,XKH0024,XKH0024_PHONETHONG,Pek,5,59748,1039421193,4578009.59,22.7,2.4,23.2,8,18,30,19.425466,103.17124
XKH,XKH0077,XKH0077_NGANE_ZONE,Khoun,5,5400,486555287.7,4884892.464,32.1,52.1,71,88,135,60,19.16103,103.6957
XKH,XKH0087,XKH0087_KANGVIENG,Mok-Mai,6,4567,569379403,20224418.14,118.7,83.5,194.7,155,240,215,18.9301,103.988
XKH,XKH0088,XKH0088_NAKON,Mok-Mai,5,4066,580550316.1,9642222.38,67.5,67.4,130.4,133,210,120,19.07254,103.950856
XKH,XKH0090,XKH0090_CHAMMUEN,Nonghet,5,8032,383566267.4,8072935.951,88,37.2,118.7,55,105,0,19.48024,103.88527
XKH,XKH0095,XKH0095_NONGPHET,Pek,5,29871,863904746,5976141.421,29.5,11.2,38.9,26,45,90,19.559274,103.381839
XKH,XKH0097,XKH0097_PHAKHAE,Nonghet,5,10577,362299869.3,4416035.485,60.4,31.9,71.1,36,60,20,19.605527,103.822675
XKH,XKH0099,XKH0099_YOT20,Nonghet,6,9277,577980956.1,17128273.55,99.7,75.4,153.5,50,75,120,19.61302,103.878296
XKH,XKH0110,XKH0110_NAMNGEUAM4A,Phoukout,5,1741,265787958.4,4622354.311,67.5,18.6,51.3,45,90,360,19.449617,103.005801
XKH,XKH0113,XKH0113_NUMNGEUM4B,Phoukout,5,4253,271191144.7,8108324.347,69.2,111.2,82.9,70,120,150,19.418488,102.932479
XSB,XSB0017,XSB0017_516ZONE,Longxan,6,6990,702191838.6,19969794.99,40.3,101.4,43.4,42,5490,120,18.561076,102.763384
XSB,XSB0019,XSB0019_NAXAY,Longxan,5,9795,408228687.9,8951296.241,79,111.1,72.8,6,610,300,18.555969,103.058746
XSB,XSB0024,XSB0024_M_LONGXAN_LTC,Longxan,5,13632,487460577.7,10544183.59,101.4,93.3,93.8,1,3,10,18.553695,103.009502
XSB,XSB0029,XSB0029_NAMPOUNG,Hom,5,831,99865018.83,7056386.461,316.2,315.3,480.3,69,976,40,18.62527667,103.280865
XSB,XSB0030,XSB0030_NAMTHOUY,Hom,6,1126,199775753.8,19227195.13,450.2,328.6,496.1,95,1342,60,18.54004,103.4602
XSB,XSB0031,XSB0031_PHUKATHA,Hom,5,1399,280520885,7769149.869,191.1,202.7,266.3,71,1159,40,18.569929,103.312753
XSB,XSB0032,XSB0032_HOMTHARD,Hom,6,4015,367721729.7,15865309.3,88.8,190,142.1,56,915,40,18.7111,103.2099
XSB,XSB0033,XSB0033_PALAWEAK_HIGH_SCHOOL,Hom,6,4529,355156652.2,19428936.34,155.3,172.6,161.7,52,854,300,18.67944,103.19069
XSB,XSB0034,XSB0034_PHALAVEK,Hom,5,5138,461075037,10181975.56,30.8,152.3,45.1,50,915,240,18.68082,103.18383
XSB,XSB0036,XSB0036_NAMXAN,Longcheng,5,4445,228933072.2,9490959.605,102.4,144.6,185,54,915,40,18.982051,102.943124
XSB,XSB0038,XSB0038_LONGCHENG,Longcheng,5,3360,410451528.7,6494168.895,79.1,56.7,100.7,63,1037,10,19.08469,102.94201
XSB,XSB0041,XSB0041_XAMTHONG,Longcheng,5,2134,158098419.2,6927653.25,155.5,192.2,187.3,78,1220,40,19.1794,102.8912
XSB,XSB0043,XSB0043_KHETNGAM,Thathom,5,2074,320371569.4,10290595.97,68,185.5,180.6,42,3660,300,18.9522,103.7776
XSB,XSB0045,XSB0045_PAKYONG,Thathom,5,29573,281044365.1,4252017.974,50.9,67.1,100.9,26,2440,0,18.888612,103.77397
XSB,XSB0053,XSB0053_NAMXANB,Thathom,5,1317,158560027.4,4880192.722,101.8,413.6,490.8,8,1830,0,19.08674,103.619702
XYL,XYL0039,XYL0039_NAYAO,Xaiyabouly,5,28162,538508227.9,6608294.969,58,13.4,48.5,4,671,30,19.27564,101.7174
XYL,XYL0049,XYL0049_PAKTHUNG,Xianghon,5,8297,1024918988,9535351.01,33.9,34.9,50.3,26,60,10,19.54972,100.70083
XYL,XYL0064,XYL0064_KHOKKAODOR,Paklai,5,26235,637393505.4,10644874.25,63.1,40.6,90,7,1220,0,18.1648,101.3981
XYL,XYL0069,XYL0069_MEUANGPA,Paklai,5,10367,771123765.9,13502875.95,86.1,42.2,120.5,60,61,15,18.5495,101.60994
XYL,XYL0070,XYL0070_MEUANGVA,Paklai,5,10396,915510587,10624990.55,50.2,13.7,50.6,21,60,15,18.28047,101.31774
XYL,XYL0071,XYL0071_NAKHAN,Xaiyabouly,6,2199,440109332.9,19815353.21,195.1,99.7,281.2,80,189,15,18.94875,101.721624
XYL,XYL0094,XYL0094_KHOKAEK,Hongsa,5,2037,336612196.9,6023328.252,68,106.1,140.7,45,69,15,19.83582,101.6229
XYL,XYL0097,XYL0097_NAPUNG,Hongsa,5,12719,469543806.9,5845758.119,52.3,17.2,67.9,7,1220,30,19.69223,101.40586
XYL,XYL0137,XYL0137_BANKANG,Phiang,5,17544,522056663.8,4978097,64.4,16.7,58.8,35,61,10,19.094032,101.533
XYL,XYL0141,XYL0141_NALAE,Phiang,5,14126,387992036.8,5195073.978,67.4,10.7,65.8,80,189,10,18.71509,101.56307
XYL,XYL0142,XYL0142_NAVAND,Phiang,5,2230,430223561,6890391.039,74.6,20.7,91.9,90,185,10,18.7991,101.36515
XYL,XYL0143,XYL0143_NAXING,Phiang,5,16551,583281511.4,7739622.042,66,26.2,75,44,66,10,19.010311,101.506051
XYL,XYL0147,XYL0147_SOMSAVATH,Phiang,5,14033,348879545.4,7214130.952,88.5,29.7,107.2,95,181,10,18.671429,101.55986
XYL,XYL0160,XYL0160_BANMAI,Thongmixai,5,3523,278974584.5,4056684.661,87.2,49.3,107.6,51,66,5,18.3638,101.13556
XYL,XYL0161,XYL0161_M_THONGMIXAY,Thongmixai,5,8289,539617330.9,4758413.33,36.9,25.1,30.8,45,69,30,18.3999,101.176
XYL,XYL0170,XYL0170_BORSAN,Boten,5,1523,237887873.1,5029111.21,116.2,58.8,166,130,241,0,17.65952,101.10278
XYL,XYL0176,XYL0176_MUENGHAM,Boten,5,5320,418598488.5,5128294.169,68.2,32.6,94.7,105,183,5,17.76745,101.15284
XYL,XYL0181,XYL0181_NONGBONGDENG,Boten,5,2752,271607992,3961655.658,130.4,42.1,155.4,130,241,0,17.5501,101.16
XYL,XYL0185,XYL0185_NAKONG,Xaiyabouly,5,12582,394621437.5,6103629.635,93.4,31,97.4,100,186,0,19.29652,101.81362
